Family,File,Nodes,Algorithm,AvgTime_ms
Long-C,Long-C.1.0.gr,1048576,dial-single,127.01
Long-C,Long-C.1.0.gr,1048576,dial-random,123.82
Long-C,Long-C.2.0.gr,1048576,dijkstra-single,231.82
Long-C,Long-C.2.0.gr,1048576,dijkstra-random,238.71
Long-C,Long-C.2.0.gr,1048576,radixheap-single,210.53
Long-C,Long-C.2.0.gr,1048576,radixheap-random,191.18
Long-C,Long-C.2.0.gr,1048576,dial-single,138.93
Long-C,Long-C.2.0.gr,1048576,dial-random,132.0
Long-C,Long-C.3.0.gr,1048576,dijkstra-single,247.26
Long-C,Long-C.3.0.gr,1048576,dijkstra-random,236.92
Long-C,Long-C.3.0.gr,1048576,radixheap-single,243.77
Long-C,Long-C.3.0.gr,1048576,radixheap-random,244.54
Long-C,Long-C.3.0.gr,1048576,dial-single,142.14
Long-C,Long-C.3.0.gr,1048576,dial-random,147.18
Long-C,Long-C.4.0.gr,1048576,dijkstra-single,224.98
Long-C,Long-C.4.0.gr,1048576,dijkstra-random,226.22
Long-C,Long-C.4.0.gr,1048576,radixheap-single,288.44
Long-C,Long-C.4.0.gr,1048576,radixheap-random,281.79
Long-C,Long-C.4.0.gr,1048576,dial-single,178.93
Long-C,Long-C.4.0.gr,1048576,dial-random,175.06
Long-C,Long-C.5.0.gr,1048576,dijkstra-single,236.89
Long-C,Long-C.5.0.gr,1048576,dijkstra-random,226.08
Long-C,Long-C.5.0.gr,1048576,radixheap-single,302.6
Long-C,Long-C.5.0.gr,1048576,radixheap-random,299.02
Long-C,Long-C.5.0.gr,1048576,dial-single,225.91
Long-C,Long-C.5.0.gr,1048576,dial-random,235.7
Long-C,Long-C.6.0.gr,1048576,dijkstra-single,228.1
Long-C,Long-C.6.0.gr,1048576,dijkstra-random,222.6
Long-C,Long-C.6.0.gr,1048576,radixheap-single,305.57
Long-C,Long-C.6.0.gr,1048576,radixheap-random,302.29
Long-C,Long-C.6.0.gr,1048576,dial-single,461.45
Long-C,Long-C.6.0.gr,1048576,dial-random,446.14
Long-C,Long-C.7.0.gr,1048576,dijkstra-single,232.65
Long-C,Long-C.7.0.gr,1048576,dijkstra-random,223.4
Long-C,Long-C.7.0.gr,1048576,radixheap-single,307.77
Long-C,Long-C.7.0.gr,1048576,radixheap-random,301.69
Long-C,Long-C.7.0.gr,1048576,dial-single,1108.7
Long-C,Long-C.7.0.gr,1048576,dial-random,1204.04
Long-C,Long-C.8.0.gr,1048576,dijkstra-single,218.3
Long-C,Long-C.8.0.gr,1048576,dijkstra-random,230.49
Long-C,Long-C.8.0.gr,1048576,radixheap-single,301.19
Long-C,Long-C.8.0.gr,1048576,radixheap-random,305.48
Long-C,Long-C.8.0.gr,1048576,dial-single,5202.13
Long-C,Long-C.8.0.gr,1048576,dial-random,4479.86
Long-C,Long-C.9.0.gr,1048576,dijkstra-single,229.84
Long-C,Long-C.9.0.gr,1048576,dijkstra-random,214.96
Long-C,Long-C.9.0.gr,1048576,radixheap-single,308.97
Long-C,Long-C.9.0.gr,1048576,radixheap-random,302.23
Long-C,Long-C.9.0.gr,1048576,dial-single,15097.52
