0.897874 13 10 5 D
0.934560 13 11 5 D
0.957157 13 11 6 D
1.000827 13 11 7 D
1.036700 13 10 7 D
1.049623 13 10 8 D
1.099008 13 10 9 D
1.145178 13 9 9 D
1.169638 13 8 9 D
1.205516 13 9 9 D
1.236773 13 9 8 D
1.276142 13 8 8 D
1.302243 13 8 7 D
1.330855 13 8 8 D
1.371419 13 8 7 D
1.411644 13 8 8 D
1.446838 13 7 8 D
1.467087 13 8 8 D
1.509237 13 9 8 D
1.529669 13 10 8 D
1.571779 13 10 9 D
1.617970 13 10 8 D
1.635769 13 10 7 D
1.679599 13 9 7 D
1.714307 13 9 8 D
0.000858 10 9 8 A
0.045559 10 9 7 A
0.060276 10 10 7 A
0.098816 10 11 7 A
0.114033 10 10 7 A
0.148759 10 10 8 A
0.194228 10 10 9 A
0.236287 10 9 9 A
0.253944 10 10 9 A
0.278945 10 10 8 A
0.294857 10 11 8 A
0.322137 10 11 9 A
0.354653 10 11 8 A
0.390192 10 10 8 A
0.420451 10 10 9 A
0.433760 10 10 8 A
0.449859 10 11 8 A
0.499533 10 12 8 A
0.536855 10 11 8 A
0.582790 10 10 8 A
0.601591 10 11 8 A
0.643903 10 10 8 A
0.682414 10 9 8 A
0.731634 10 9 7 A
0.747522 10 10 7 A
0.782815 10 10 8 A
0.796927 10 10 9 A
0.816195 10 10 8 A
0.860234 10 10 9 A
0.873665 10 10 8 A
0.890849 10 10 9 A
0.938111 10 11 9 A
0.949171 10 11 10 A
0.964597 10 11 9 A
0.982606 10 12 9 A
0.994179 10 11 9 A
1.038029 10 12 9 A
1.077739 10 11 9 A
1.104677 10 12 9 A
1.128066 10 12 8 A
1.157586 10 12 9 A
1.190161 10 12 10 A
1.231100 10 12 9 A
1.260005 10 12 10 A
1.296539 10 11 10 A
1.345347 10 11 9 A
1.373738 10 11 8 A
1.416873 10 11 9 A
1.434579 10 11 10 A
1.470633 10 11 9 A
1.507880 10 11 8 A
1.549988 10 12 8 A
1.573015 10 13 8 A
1.598604 10 12 8 A
1.620535 10 11 8 A
1.666222 10 11 9 A
1.680897 10 12 9 A
1.718858 10 11 9 A
1.760620 10 11 8 A
1.807817 10 10 8 A
1.857280 10 11 8 A
1.877809 10 11 9 A
1.921623 10 11 10 A
1.953660 10 11 11 A
1.993845 10 12 11 A
2.026808 10 12 10 A
2.073806 10 11 10 A
2.094301 10 11 9 A
2.187617 29 1 14 4
2.193998 29 15 15 4
0.000879 21 1 13 L
0.040925 21 1 14 L
0.089803 21 0 14 L
0.132345 21 14 14 L
0.161808 21 13 14 L
0.203815 21 13 0 L
0.249016 21 13 1 L
0.287073 21 13 2 L
0.300612 21 12 2 L
0.338606 21 11 2 L
0.378294 21 11 3 L
0.426854 21 11 4 L
0.449688 21 12 4 L
0.490943 21 12 3 L
0.527185 21 11 3 L
0.554541 21 12 3 L
0.603879 21 12 2 L
0.642624 21 12 3 L
0.687553 21 12 4 L
0.723677 21 13 4 L
0.740501 21 13 3 L
0.778053 21 13 2 L
0.817411 21 14 2 L
0.834716 21 13 2 L
0.872508 21 13 3 L
0.896608 21 13 2 L
0.928504 21 14 2 L
0.959640 21 0 2 L
0.982567 21 14 2 L
1.029885 21 14 3 L
1.079021 21 13 3 L
1.125506 21 13 2 L
1.159921 21 13 1 L
1.202007 21 13 2 L
1.245576 21 13 3 L
1.264731 21 13 2 L
1.306668 21 13 3 L
1.337629 21 12 3 L
1.348824 21 12 4 L
1.368132 21 13 4 L
1.397562 21 13 5 L
1.422408 21 12 5 L
1.446896 21 13 5 L
1.484015 21 12 5 L
1.504490 21 13 5 L
1.526376 21 13 4 L
1.558501 21 12 4 L
1.582848 21 13 4 L
1.620651 21 12 4 L
1.634631 21 11 4 L
1.657187 21 10 4 L
1.680881 21 9 4 L
1.730882 21 9 5 L
1.746963 21 9 6 L
1.787919 21 9 7 L
1.834909 21 10 7 L
1.858548 21 10 6 L
1.899674 21 10 7 L
1.939809 21 9 7 L
1.986581 21 9 6 L
1.997320 21 9 7 L
2.012684 21 8 7 L
2.053041 21 8 6 L
2.083396 21 7 6 L
2.115246 21 6 6 L
2.136749 21 6 7 L
2.171832 21 6 8 L
2.217904 21 5 8 L
2.254042 21 5 7 L
2.275439 21 4 7 L
2.293361 21 3 7 L
2.330884 21 3 8 L
2.359398 21 2 8 L
2.401553 21 2 9 L
2.434132 21 1 9 L
0.189344 25 12 13 0
3.197249 25 15 15 0
3.798434 30 11 10 5
4.225500 30 15 15 5
3.433863 32 10 12 7
4.499976 32 15 15 7
0.979058 27 4 11 2
4.655343 27 15 15 2
4.647944 28 3 8 3
4.662707 28 15 15 3
1.658538 33 14 12 8
4.744070 33 15 15 8
4.634551 31 2 0 6
4.747511 31 15 15 6
0.844119 34 12 5 9
1.422413 34 0 0 9
1.558507 34 0 0 9
4.776950 34 15 15 9
0.000848 9 11 14 #
1.097726 9 11 14 b
1.198497 9 11 14 #
1.198505 9 11 14 c
1.298802 9 11 14 #
0.000802 0 5 2 #
0.000823 6 4 1 #
0.000816 5 0 11 #
1.642116 5 0 11 h
1.742593 5 0 11 #
0.000810 2 13 7 #
0.443865 2 13 7 e
0.544214 2 13 7 #
0.000809 1 7 4 #
0.080994 1 7 4 i
0.181133 1 7 4 #
0.000814 4 5 10 #
0.400264 4 5 10 k
0.500794 4 5 10 #
0.000845 7 0 1 #
0.193175 7 0 1 g
0.293682 7 0 1 #
0.959632 7 0 1 *
1.060167 7 0 1 #
1.168939 7 0 1 n
1.269339 7 0 1 #
0.000812 3 2 1 #
0.000846 8 10 1 #
1.118004 8 10 1 f
1.218111 8 10 1 #
