n,B,U,C,D,D-C
5000,62,1829,40278,52820,12542
5000,123,1817,47898,59310,11412
5000,109,1835,45013,61739,16726
5000,61,1814,38196,60647,22451
5000,57,1874,43670,50926,7256
5000,93,1854,48043,55344,7301
5000,24,1859,50717,52593,1876
6000,36,2193,46329,61420,15091
6000,61,2191,51259,66995,15736
6000,67,2177,52676,64355,11679
6000,74,2226,65571,86877,21306
6000,14,2188,68914,85988,17074
6000,197,2175,48112,74453,26341
6000,136,2186,83251,89749,6498
6000,206,2243,67637,68425,788
6000,107,2242,67142,73192,6050
6000,75,2168,60653,83892,23239
6000,60,2178,60554,72364,11810
6000,151,2224,60956,66705,5749
6000,22,2202,50757,85006,34249
6000,106,2246,45842,62212,16370
6000,89,2199,56456,69839,13383
6000,23,2216,56840,77473,20633
6000,169,2227,65800,70976,5176
6000,161,2204,58767,72493,13726
6000,64,2171,49304,58528,9224
6000,87,2188,67852,71275,3423
6000,176,2211,51428,59268,7840
6000,113,2187,65701,71522,5821
6000,140,2226,52956,60998,8042
6000,50,2186,49133,68107,18974
6000,169,2186,59513,67873,8360
6000,83,2240,50666,64050,13384
6000,113,2197,56254,78383,22129
6000,76,2174,85017,91699,6682
6000,90,2213,53973,69694,15721
6000,209,2220,60851,65040,4189
6000,79,2230,58705,65771,7066
6000,148,2215,52734,59392,6658
6000,77,2201,55917,61164,5247
6000,47,2194,55033,68963,13930
6000,113,2195,46130,68032,21902
6000,184,2219,57204,62352,5148
6000,217,2205,57735,72617,14882
6000,137,2189,53805,79297,25492
6000,64,2242,53922,69755,15833
6000,98,2219,56580,68503,11923
6000,200,2212,58238,67792,9554
6000,23,2190,49128,87728,38600
6000,21,2214,67996,81413,13417
6000,129,2179,60719,68522,7803
6000,189,2203,55893,66714,10821
6000,69,2165,61616,75967,14351
6000,69,2162,53685,79578,25893
6000,156,2173,55869,73937,18068
6000,20,2179,43316,71676,28360
6000,117,2209,47641,64827,17186
7000,151,2579,75608,86193,10585
7000,28,2547,56590,74538,17948
7000,18,2614,63953,90106,26153
7000,52,2583,69559,71748,2189
7000,102,2557,56786,72981,16195
7000,139,2575,79511,83228,3717
7000,62,2568,78356,101799,23443
7000,77,2614,79417,83628,4211
7000,79,2563,66000,86447,20447
7000,133,2558,71186,85691,14505
7000,52,2565,61880,79797,17917
7000,249,2566,78172,90863,12691
7000,170,2545,56758,75456,18698
7000,72,2581,65911,88281,22370
7000,88,2569,64238,83215,18977
7000,54,2569,65138,86275,21137
7000,115,2616,70068,72645,2577
7000,36,2590,61275,80831,19556
7000,77,2514,62023,80447,18424
7000,83,2607,63663,71605,7942
7000,98,2563,87981,99417,11436
7000,44,2593,73504,88024,14520
7000,91,2584,64091,94876,30785
7000,114,2573,60494,88452,27958
7000,46,2564,65361,89712,24351
7000,28,2577,69726,94787,25061
7000,238,2582,61346,81891,20545
7000,77,2555,83207,86327,3120
7000,59,2572,77267,84310,7043
7000,69,2568,62583,90985,28402
7000,49,2601,61923,74497,12574
7000,139,2607,79572,95220,15648
7000,44,2545,79766,81001,1235
7000,40,2550,75556,103375,27819
7000,83,2576,55874,90243,34369
7000,42,2582,58985,92206,33221
7000,162,2575,64611,70269,5658
7000,106,2571,54704,73619,18915
7000,157,2528,56014,82096,26082
7000,96,2591,73663,75961,2298
